record_id,location_id,name,location_address,type,lights,courts,winter_play,club_name,club_website,longitude,latitude
19,560,Botany Hill Park,277 Orton Park Rd,Club,Yes,4,Not indicated,Botany Hill Park,NA,-79.2115040427,43.7781008052
20,578,Bridlewood Park,445 Huntingwood Dr,Club,Yes,3,Not indicated,Bridlewood Tennis Club,http://www.bridlewoodtennis.ca,-79.3162401527,43.7829182599
21,215,Broadlands Park,19 Castlegrove Blvd,Club,Yes,4,Not indicated,O'Connor Hills Tennis Club,http://www.oconnorhillstennis.com,-79.321292499,43.7459134839
22,813,Buttonwood Park,30 Mulham Pl,Public,Yes,3,Not indicated,NA,NA,-79.5208937116,43.6820428693
23,16,Cassandra Park,230 Cassandra Blvd,Club,Yes,4,Not indicated,Parkway Valley Tennis Club,http://www.pvtc.ca,-79.3183752092,43.7547695052
24,629,Cedarvale Park,443 Arlington Ave,Public,Yes,4,Not indicated,NA,NA,-79.4293463982,43.6920429866
25,632,Chalkfarm Park,2230 Jane St,Public,No,2,Yes,NA,NA,-79.5153049996,43.7251242398
26,2200,Champlain Parkette,50 Champlain Blvd.,Public,No,2,Not indicated,NA,NA,-79.4442690567,43.7321364042
27,540,Charlottetown Park,65 Charlottetown Blvd,Club,Yes,3,Not indicated,Charlottetown Tennis Club,http://www.charlottetowntennis.com,-79.1402378204,43.7816672717
28,2307,Clairlea Park,45 Fairfax Cres,Public,No,2,Not indicated,NA,NA,-79.2876779339,43.7142966616
29,493,Cliffwood Park,280 Cliffwood Rd,Public,No,3,Not indicated,NA,NA,-79.3550893956,43.8084161039
30,935,Cloverdale Park,85 Shaver Ave S,Public,Yes,3,Yes,NA,NA,-79.5445523618,43.6338484595
31,494,Clydesdale Park,116 Clydesdale Dr,Club,Yes,4,Not indicated,Pleasantview Tennis Club,http://www.pleasantviewtennis.com,-79.3294248222,43.7832230865
32,220,Coleman Park,19 Coleman Ave,Public,No,2,Not indicated,NA,NA,-79.2998132901,43.6893991992
33,2262,Confederation Park,250 Dolly Varden Blvd,Club,Yes,3,Not indicated,Centennial Tennis Club,NA,-79.2361470713,43.7739195626
34,2568,Cosburn Park,115 Roosevelt Rd,Club,Yes,5,Not indicated,NA,NA,-79.3302786169,43.6929471282
35,496,Cresthaven Park,37 Cresthaven Dr,Club,Yes,4,Not indicated,Hillcrest Tennis Club,http://www.hillcresttennisclub.ca,-79.3632595734,43.7989881401
36,941,Cummer Park,823 Cummer Ave,Public,Yes,4,Yes,NA,NA,-79.3718071461,43.7996349111
37,2642,Dennis Flynn Park,370 The West Mall,Public,Yes,3,Not indicated,NA,NA,-79.5660873359,43.6407105505
38,86,Dovercourt Park,155 Bartlett Ave,Public,No,2,Yes,NA,NA,-79.4335347104,43.6652150466
39,501,Dunlace Park,28 Dunlace Dr,Club,Yes,3,Not indicated,Dunlace Tennis Club,http://www.dunlacetennis.com,-79.3684971127,43.7627551751
40,514,Earlscourt Park,1200 Lansdowne Ave,Public,Yes,1,Not indicated,NA,NA,-79.4515037405,43.6736233981
41,948,East Mall Park,355 The East Mall,Public,Yes,3,Yes,NA,NA,-79.557311762,43.6424081745
42,9,Eglinton Flats,101 Emmett Ave,Public,Yes,13,Not indicated,NA,NA,-79.4993864321,43.6849623766
43,117,Eglinton Park,200 Eglinton Ave W,Public,Yes,2,Not indicated,NA,NA,-79.4053288336,43.707455346
44,490,Elie Wiesel Park,30 Palm Dr,Public,Yes,3,Yes,NA,NA,-79.4380929802,43.7457158533
45,594,Elizabeth Simcoe Park,180 Sylvan Ave,Club,Yes,4,Not indicated,Guildwood Tennis Club,http://www.guildwoodtennis.com,-79.2047485273,43.7394428294
46,127,Fairmount Park,1725 Gerrard St E,Public,Yes,4,Yes,NA,NA,-79.3157246806,43.6758927912
47,312,Fenside Park,30 Slidell Cres,Public,Yes,4,Yes,NA,NA,-79.3272223147,43.7648962727
48,572,Firgrove Park,254 Firgrove Cres,Public,No,3,Yes,NA,NA,-79.5215981399,43.7506299125
49,963,Flagstaff Park,42 Mercury Rd,Public,Yes,2,Not indicated,NA,NA,-79.5906395357,43.7211741632
50,593,Fountainhead Park,445 Sentinel Rd,Club,Yes,3,Not indicated,Fountainhead Community Tennis Club,http://www.nyta.org/fountainhead_new.html,-79.4989775676,43.7619604841
51,843,Gihon Spring Park,75 Gihon Spring Dr,Public,Yes,2,Yes,NA,NA,-79.5946310982,43.7545277654
52,915,Glen Park,44 A Eastglen Cres,Public,Yes,2,Not indicated,NA,NA,-79.5528803231,43.6508232808
53,640,Glendora Park,201 Glendora Ave,Public,Yes,2,Yes,NA,NA,-79.3999245342,43.7615281708
54,644,Goulding Park,80 Patricia Ave,Public,No,3,Yes,NA,NA,-79.4223942054,43.7908731496
55,645,Gracedale Park,176 Gracedale Blvd,Public,No,3,Yes,NA,NA,-79.5621766567,43.751942337
56,648,Grandravine Park,23 Grandravine Dr,Public,No,3,Not indicated,NA,NA,-79.4913156605,43.7519255923
