X_id,ID,Name,Type,Lights,Courts,Phone,ClubName,ClubWebsite,ClubInfo,LocationAddress,WinterPlay,geometry
146,762,Strathburn Park,Public,Yes,2,311,,,,55  Strathburn Blvd ,,"{""coordinates"": [[-79.5327912218, 43.7221408633]], ""type"": ""MultiPoint""}"
147,870,Summerlea Park,Public,Yes,2,311,,,,2  Arcot Blvd ,,"{""coordinates"": [[-79.5485540204, 43.7306176054]], ""type"": ""MultiPoint""}"
148,871,Sunnydale Acres Park,Public,Yes,4,311,,,,50  Amoro Dr ,,"{""coordinates"": [[-79.5785252771, 43.7240965942]], ""type"": ""MultiPoint""}"
149,1021,Sunnylea Park,Public,Yes,2,311,,,,195 Prince Edward Dr S,Yes,"{""coordinates"": [[-79.5016309529, 43.6415571047]], ""type"": ""MultiPoint""}"
150,763,Sweeney Park,Public,Yes,3,311,,,,110  Sweeney Dr ,,"{""coordinates"": [[-79.316011738, 43.7362132992]], ""type"": ""MultiPoint""}"
151,216,Symington Avenue Playground,Public,No,2,311,,,,431  Perth Ave ,Yes,"{""coordinates"": [[-79.4522856811, 43.6667061047]], ""type"": ""MultiPoint""}"
152,2154,Tam Heather Country Club Grounds,Club,Yes,4,311,,,,50  Bonspiel Dr ,,"{""coordinates"": [[-79.1977789209999, 43.7914613609999]], ""type"": ""MultiPoint""}"
153,543,Thomson Memorial Park,Club,Yes,3,311,Thomson Park Tennis Club,,,1005 Brimley Rd ,,"{""coordinates"": [[-79.2533708865, 43.7575786177]], ""type"": ""MultiPoint""}"
154,764,Three Valleys Park,Club,Yes,2,416-391-3962,Parkway Valley Tennis Club,http://www.pvtc.ca,,82  Three Valleys Dr ,,"{""coordinates"": [[-79.3394444969, 43.7505973363]], ""type"": ""MultiPoint""}"
155,837,Tom Riley Park,Club,Yes,3,416-236-2835,Central Tennis Club,http://www.centraltennisclub.com,,4725  Dundas St. W,Yes,"{""coordinates"": [[-79.5217785888, 43.6484570523]], ""type"": ""MultiPoint""}"
156,276,Topham Park,Public,Yes,2,311,,,,181  Westview Blvd. ,Yes,"{""coordinates"": [[-79.3065172647, 43.7100225274]], ""type"": ""MultiPoint""}"
157,766,Tournament Park,Club,Yes,4,416-733-4643,Tournament Park Tennis Club,http://www.tournamentpark.com,,40  Tournament Dr ,,"{""coordinates"": [[-79.3996976275, 43.7515342315]], ""type"": ""MultiPoint""}"
158,934,Trace Manes Park,Club,Yes,6,416-467-9350,Leaside Tennis Club,http://www.leasidetennis.org,,110  Rumsey Rd ,,"{""coordinates"": [[-79.3674495146, 43.705570191]], ""type"": ""MultiPoint""}"
159,241,Trinity Bellwoods Park,Public,No,8,311,,,,790  Queen St W,Yes,"{""coordinates"": [[-79.4143036054, 43.6477934801]], ""type"": ""MultiPoint""}"
160,772,Viewmount Park,Club,Yes,4,416-395-6021,Viewmount Park Tennis Club,https://viewmount.ca,,169 Viewmount Ave ,,"{""coordinates"": [[-79.4374593876, 43.7070287033]], ""type"": ""MultiPoint""}"
161,265,Wanless Park,Club,Yes,5,416-483-4546,Wanless Park Tennis Club,http://www.wanlesstennis.com,,250  Wanless Ave ,,"{""coordinates"": [[-79.3920573305, 43.728932197]], ""type"": ""MultiPoint""}"
162,773,Wedgewood Park - Etobicoke,Public,Yes,1,311,,,,15  Swan Ave ,,"{""coordinates"": [[-79.547517477, 43.6444634749]], ""type"": ""MultiPoint""}"
163,2673,Wedgewood Park - North York,Public,No,2,311,,,,145  Wedgewood Dr ,Yes,"{""coordinates"": [[-79.4063113799, 43.7905113086]], ""type"": ""MultiPoint""}"
164,873,West Deane Park,Club,Yes,4,311,Martingrove Tennis Club,http://www.martingrovetennis.com,Has public hours - Public Hours: 5 PM - 11 PM (Sundays Only),400 Martin Grove Road ,,"{""coordinates"": [[-79.5634940078, 43.6639989632]], ""type"": ""MultiPoint""}"
165,754,West Rouge Park,Club,Yes,3,311,West Rouge Tennis Club,https://wrtctennis.com/,,270  Rouge Hills Dr ,,"{""coordinates"": [[-79.1254637314, 43.7915901903]], ""type"": ""MultiPoint""}"
166,876,Westgrove Park,Public,Yes,2,311,,,,15  Redgrave Dr ,,"{""coordinates"": [[-79.5676612134, 43.6818208024]], ""type"": ""MultiPoint""}"
167,2006,Westmount Park,Public,Yes,3,311,,,,22  Arcade Dr ,Yes,"{""coordinates"": [[-79.5188097181, 43.687305663]], ""type"": ""MultiPoint""}"
168,508,Weston Lions Park,Club,Yes,4,416-243-7068,York Weston Lions Tennis Club,http://www.ywtc.ca,,2125  Lawrence Ave W,,"{""coordinates"": [[-79.5180978282, 43.6985583795]], ""type"": ""MultiPoint""}"
169,874,Westway Park,Public,Yes,4,311,,,,175  The Westway ,,"{""coordinates"": [[-79.5415217577, 43.6877692708]], ""type"": ""MultiPoint""}"
170,865,Willowdale Park,Club,Yes,4,416-590-9704,North York Tennis Club,http://www.nytc.ca,,75  Hollywood Ave ,,"{""coordinates"": [[-79.407279077, 43.7663856008]], ""type"": ""MultiPoint""}"
171,586,Wishing Well Park,Club,Yes,3,416-492-9696,Wishing Well Tennis Club,http://www.wwtc.sprinterweb.net,,1700  Pharmacy Ave ,,"{""coordinates"": [[-79.3166203898, 43.7698684436]], ""type"": ""MultiPoint""}"
172,306,Withrow Park and Clubhouse,Public,No,2,311,,,,725  Logan Ave ,Yes,"{""coordinates"": [[-79.3469330614, 43.6744320603]], ""type"": ""MultiPoint""}"
173,1476,York Mills Valley Park,Club,Yes,5,416-440-0645,Valley Tennis Club,http://www.valleytennisclub.com,,3865  Yonge St ,,"{""coordinates"": [[-79.4053132032, 43.7404834459]], ""type"": ""MultiPoint""}"
